feature,importance
project_key_ESME,1.751773286329866e-06
project_key_MRESOLVER,1.7507414980758912e-06
project_key_SANDBOX,1.7196108903476648e-06
project_key_JOHNZON,1.693062378247837e-06
project_key_IOTA,1.683599622079741e-06
project_key_PORTALS,1.6135792022719563e-06
project_key_DOSGI,1.4766522271185044e-06
project_key_MPH,1.472474368600219e-06
project_key_PLC4X,1.4251500993809603e-06
issue_type_New JIRA Project,1.3788744541671788e-06
project_key_QPIDIT,1.3602226575428292e-06
project_key_METAMODEL,1.322389905206868e-06
project_key_DORMANT,1.2616674838444542e-06
project_key_DAEMON,1.1356849144244896e-06
project_key_TWILL,1.133482860909131e-06
project_key_MAILBOX,1.1132821702365358e-06
project_key_FREEMARKER,1.0795837696267858e-06
project_key_HUPA,1.0142687751862017e-06
project_key_MINSTALL,9.663727292086486e-07
project_key_HELIX,9.464511381920602e-07
project_key_MINIFICPP,9.229113757529515e-07
project_key_FEDIZ,9.089356498549183e-07
issue_type_RTC,8.90478032401268e-07
project_key_EMPIREDB,8.615351021271151e-07
project_key_MSHADE,8.505170056522074e-07
project_key_DIRECTMEMORY,8.376694091121604e-07
project_key_JXR,7.80591701349051e-07
project_key_OLTU,7.799260257626102e-07
project_key_MSOURCES,7.765739584483959e-07
project_key_JSIEVE,7.2695419644617e-07
project_key_BEAM,7.135666390357823e-07
project_key_DBUTILS,6.961198541406853e-07
project_key_GRIFFIN,6.568163055220823e-07
project_key_VELTOOLS,6.346006115649026e-07
project_key_ORC,6.124332599914618e-07
project_key_MACR,5.764530653707277e-07
project_key_SDAP,5.524973012829459e-07
project_key_SANDESHA2C,5.434961491571263e-07
project_key_DOXIASITETOOLS,5.3202565646038e-07
project_key_COMMONSSITE,5.10605141398297e-07
project_key_APOLLO,4.957766924779448e-07
project_key_DL,4.464847039677252e-07
project_key_DIRNAMING,4.443748258324358e-07
project_key_MSKINS,4.128118841378907e-07
project_key_IMAP,3.994834385188748e-07
project_key_MREPOSITORY,3.3832215307962925e-07
project_key_YOKO,3.380104892364048e-07
project_key_EXLBR,3.2152374216721834e-07
project_key_ACL,3.210120455267405e-07
project_key_TILESSB,2.7725576655124537e-07
project_key_MRAR,2.1072189411699424e-07
project_key_CODEC,2.0545214360476683e-07
project_key_ATTRIBUTES,1.5018613809990083e-07
project_key_TRB,9.539080832523216e-08
project_key_ONAMI,5.315647888454872e-08
issue_type_Project,3.181758339933659e-08
issue_type_Dependency,1.5038271562191628e-08
project_key_BETWIXT,4.5062216791471055e-10
issue_type_Blog - New Blog Request,0.0
project_key_EASYANT,0.0
project_key_HERMES,0.0
project_key_HORN,0.0
project_key_HTTPASYNC,0.0
project_key_IMAGING,0.0
project_key_PARQUET,0.0
issue_type_Access,0.0
issue_type_Unknown,0.0
issue_type_Technical Debt,0.0
issue_type_TCK Challenge,0.0
issue_type_Blogs - New Blog User Account Request,0.0
project_key_HERALDRY,0.0
project_key_HDT,0.0
project_key_ZETACOMP,0.0
priority_P0,0.0
priority_P1,0.0
project_key_PULSAR,0.0
project_key_ECS,0.0
project_key_ORCHESTRA,0.0
project_key_ORP,0.0
project_key_OWC,0.0
project_key_RATIS,0.0
project_key_RAMPARTC,0.0
